CODE BARRE;ARTICLE;CODE;DESIGNATION_2;CODE_SELECTION;LOT;QTE;super Gros;demi gros;pharmacien;PPA;PRIX_SOLDE;PRIX_MIN;LABORATOIRE;fournisseur;ZONE;POIDS;CBM;CONDITIONNEMENT;QTE_STOCK_ALERTE;DATE_DERNIER_ACHAT;DATE_DERNIERE_VENTE;ART_FAMILLE_FR;OK_BLOQUE_VENTE;N°ARTICLE;N°LOT;
;BOC A LAVEMENT STR CAR;BOLA0001;;          ;          ;1;1166;1188;1450.02;0;1100;1133;;CF01;Z6-C6;0.1;0.01;;3;08/04/2022;07/04/2022;PARA MEDICALE       ;N;2;2;
;TISANE HERBESAL TONIC;TIHE0001;;          ;;10;75.11;76.53;77.95;0;70.86;72.99;;18;Z3-F1;0.1;0.01;;0;01/09/2024;25/09/2024;COMPLEMENT ALLIMENTA;N;3;3;
;TISANE HERBESAL ANTIDIARREHEIQUE;TIHE0002;;          ;;10;75.11;76.53;77.95;0;70.86;72.99;;18;SR;0.1;0.01;;0;07/04/2022;20/04/2024;COMPLEMENT ALLIMENTA;N;4;4;
;TISANE HERBESAL RHUMATISME;TIHE0003;;          ;;9;75.11;76.53;77.95;0;70.86;72.99;;18;SR;0.1;0.01;;0;07/04/2022;23/01/2025;COMPLEMENT ALLIMENTA;N;5;5;
;TISANE HERBESAL HEPATIQUE;TIHE0004;;          ;;10;75.11;76.53;77.95;0;70.86;72.99;;18;SR;0.1;0.01;;0;07/04/2022;20/04/2024;COMPLEMENT ALLIMENTA;N;6;6;
900052;TISANE HERBESAL ANTIGRIPPALE;TIHE0005;;          ;;270;81.94;83.48;89.32;0;77.3;79.62;;CF01-18-16;Z3-E1;0.1;0.01;;0;01/09/2024;10/02/2025;COMPLEMENT ALLIMENTA;N;7;7;
000038;SCI APPETIT 4 BT/30;APPE0001;30 COMP;          ;;5;714.69;728.18;741.66;890;674.24;694.47;04/25;28-1-95-16;Z3-B4;0.1;0.01;;0;21/01/2025;13/02/2025;COMPLEMENT ALLIMENTA;N;8;8;
;TISANE HERBESAL PULMONAIRE;TIHE0006;;          ;          ;0;75.11;76.53;77.95;0;70.86;72.99;;18;Z3-F1;0.1;0.01;;0;01/09/2024;10/02/2025;COMPLEMENT ALLIMENTA;N;9;9;
000014;SCI ARTHROFIT +  CURCUMA BT/30;ARTH0001;;          ;037       ;0;2397.04;2442.27;2487.5;2985;2261.36;2329.2;;JANV-28;Z3-D5;0.1;0.01;;0;20/02/2024;20/05/2024;COMPLEMENT ALLIMENTA;N;10;10;
;TISANE HERBESAL AMAIGRISSANTE;TIHE0007;;          ;;0;81.94;83.48;85.03;0;77.3;79.62;;18;SR;0.1;0.01;;0;05/08/2023;24/11/2024;COMPLEMENT ALLIMENTA;N;11;11;
;TISANE HERBESAL GALACTOGENE;TIHE0008;;          ;;10;75.11;76.53;77.95;0;70.86;72.99;;18;Z3-B1;0.1;0.01;;0;01/09/2024;24/10/2024;COMPLEMENT ALLIMENTA;N;12;12;
;TISANE HERBESAL FEMININE;TIHE0009;;          ;;20;75.11;76.53;77.95;0;70.86;72.99;;18;Z3-B1;0.1;0.01;;0;07/04/2022;17/01/2024;COMPLEMENT ALLIMENTA;N;13;13;
000045;SCI DESIMAX FEMME BT/30;DEFE0001;;          ;006       ;3;1991.52;2029.09;2066.67;2480;1878.79;1935.15;;28-1-95-16;Z3-C6;0.1;0.01;;0;18/02/2025;18/02/2025;COMPLEMENT ALLIMENTA;N;14;14;
;TISANE HERBESAL HYPOTENSIVE;TIHE0010;;          ;;10;75.11;76.53;77.95;0;70.86;72.99;;18;Z3-B1;0.1;0.01;;0;05/08/2023;03/02/2025;COMPLEMENT ALLIMENTA;N;15;15;
;TISANE HERBESAL CONSTIPATION;TIHE0011;;          ;;20;75.11;76.53;77.95;0;70.86;72.99;;18;Z3-F1;0.1;0.01;;0;01/09/2024;20/04/2024;COMPLEMENT ALLIMENTA;N;16;16;
000137;SCI DESIMAX HOMME BT/20;DEHO0001;;          ;013       ;3;1830.91;1865.45;1900;2280;1727.27;1779.09;;28-1-16-95-01;Z3-C7;0.1;0.01;;0;06/02/2025;03/02/2025;COMPLEMENT ALLIMENTA;N;17;17;
;TISANE HERBESAL INAPPETANCE;TIHE0012;;          ;;20;75.11;76.53;77.95;0;70.86;72.99;;18;Z3-B1;0.1;0.01;;0;01/09/2024;20/04/2024;COMPLEMENT ALLIMENTA;N;18;18;
;TISANE HERBESAL DEPURATIVE;TIHE0013;;          ;;20;75.11;76.53;77.95;0;70.86;72.99;;18;SR;0.1;0.01;;0;07/04/2022;17/01/2024;COMPLEMENT ALLIMENTA;N;19;19;
;TISANE HERBESAL INSOMNIE;TIHE0014;;          ;;10;75.11;76.53;77.95;0;70.86;72.99;;18;Z3-B1;0.1;0.01;;0;01/09/2024;27/01/2025;COMPLEMENT ALLIMENTA;N;20;20;
